,COUNTRY,YEAR,HEALTH_EXPENDITURE_PER_CAPITA,LIFE_EXPECTANCY_AT_BIRTH,GOV_DEBT_PCT_OF_GDP,GDP_PER_CAPITA,IMPORTS_PCT_OF_GDP,GOV_ED_SPEND_PCT_GDP,CHAOS
1267,Lower middle income,1972,NA,52.6361742088,NA,152.9438568552,12.0886355778,NA,65
1268,Low & middle income,1972,NA,56.9167992021,NA,232.782579789,9.637488023,NA,2
1269,Lesotho,1972,NA,49.5040243902,NA,75.250871097,69.1318327974,NA,90
1270,Luxembourg,1972,NA,70.2048292683,NA,5664.1566135236,68.0397556058,NA,44
1271,Morocco,1972,NA,53.2667317073,NA,301.7792157785,19.2229599486,NA,74
1272,Madagascar,1972,NA,45.7467317073,NA,192.9684658607,18.3232330093,NA,50
1273,Mexico,1972,NA,62.3176585366,NA,814.3117918354,8.8341878768,NA,26
1274,Middle income,1972,NA,58.3036258403,NA,241.7158122873,9.5418610933,NA,36
1275,Mali,1972,NA,33.785,NA,79.1574750458,19.5693123124,NA,7
1276,Malta,1972,NA,70.9626097561,NA,975.758800876,67.4587604559,NA,30
1277,Myanmar,1972,NA,51.7938536585,NA,NA,8.5499436098,NA,35
1278,Mauritania,1972,NA,50.0237073171,NA,217.5932211425,49.2060311909,NA,35
1279,Malawi,1972,NA,41.4755365854,NA,83.5638299169,37.9416282642,NA,26
1280,Malaysia,1972,NA,65.2752195122,NA,440.0727175317,37.4856188467,NA,31
1281,North America,1972,NA,71.3247139151,NA,6017.6949521543,7.1090117268,NA,97
1282,Niger,1972,NA,36.583,NA,156.2741890698,20.4946077549,NA,33
1283,Nigeria,1972,NA,42.0384634146,NA,208.6445368813,11.7955177757,NA,31
1284,Nicaragua,1972,NA,54.8991707317,NA,345.4585240805,29.6420623214,NA,1
1285,Netherlands,1972,NA,73.7270731707,NA,4052.0660296162,39.4584217726,NA,53
1286,Norway,1972,NA,74.3446341463,NA,4413.5756916853,34.1949248876,NA,58
1287,Nepal,1972,NA,43.2714634146,NA,82.0080426543,7.9178316938,NA,95
1288,New Zealand,1972,NA,71.8292682927,NA,3294.648942683,21.4049796748,NA,48
1289,OECD members,1972,NA,70.0724369432,NA,3357.1583319996,13.1885788067,NA,41
1290,Oman,1972,NA,51.8596341463,NA,472.5240358194,43.75,NA,12
1291,Pakistan,1972,NA,54.5283902439,NA,151.7593626684,16.9824936773,NA,28
1292,Peru,1972,NA,55.0175853659,NA,653.0061525074,14.7891389248,NA,52
1293,Philippines,1972,NA,61.231097561,NA,211.4010317149,19.4693076707,NA,66
1294,Papua New Guinea,1972,NA,47.3813170732,NA,333.3738478883,48.2499295426,NA,85
1295,Puerto Rico,1972,NA,72.1822682927,NA,2246.4767135113,61.4166758836,NA,56
1296,Portugal,1972,NA,68.3243902439,NA,1302.3943335666,24.8922364686,NA,21
1297,Rwanda,1972,NA,44.4540487805,NA,61.8664571307,16.2555067403,NA,21
1298,South Asia,1972,NA,50.2681518134,NA,124.1402631355,6.1806206815,NA,10
1299,Saudi Arabia,1972,NA,54.9089512195,NA,1514.2583809408,18.271919313,NA,74
1300,Sudan,1972,NA,52.8875365854,NA,195.4992835989,16.6666666667,NA,99
1301,Senegal,1972,NA,40.5562195122,NA,285.4471844068,29.2444421913,NA,70
1302,Singapore,1972,NA,69.042902439,NA,1263.6593341104,122.3835807944,NA,59
1303,Sierra Leone,1972,NA,36.2952439024,NA,178.5917883523,29.0338230622,NA,90
1304,El Salvador,1972,NA,56.9955121951,NA,327.2078737858,28.1264837147,NA,2
1305,Somalia,1972,NA,41.7168536585,NA,NA,20.5477149341,NA,56
1306,Suriname,1972,NA,63.8604390244,NA,774.5382663916,55.0764951321,NA,8
1307,Sweden,1972,NA,74.7180487805,NA,5942.1487705261,20.7002705217,NA,67
1308,Swaziland,1972,NA,49.1511219512,NA,310.6706683226,58.5992907801,NA,24
1309,Syrian Arab Republic,1972,NA,60.6672926829,NA,448.0579082844,24.1638809877,NA,46
1310,Chad,1972,NA,42.200902439,NA,153.4019073777,19.3840592629,NA,35
1311,Togo,1972,NA,47.7430487805,NA,149.3510280608,38.4802581132,NA,45
1312,Thailand,1972,NA,60.463097561,NA,209.356529677,19.1840095528,NA,89
1313,Trinidad and Tobago,1972,NA,65.442804878,NA,1118.3380550082,46.2599087197,NA,83
1314,Tunisia,1972,NA,53.4502439024,NA,422.6178823623,24.7400468384,NA,93
1315,Turkey,1972,NA,53.4751219512,NA,560.1342288849,8.5437564856,NA,3
1316,Uganda,1972,NA,49.1154878049,NA,149.3340711272,16.779342723,NA,61
1317,Upper middle income,1972,NA,62.9432237136,NA,316.0608698195,8.7721505178,NA,17
1318,Uruguay,1972,NA,68.795902439,NA,823.8355136053,14.8941662364,NA,82
1319,United States,1972,NA,71.156097561,NA,6109.9258680489,5.7870527405,NA,86
1320,"Venezuela, RB",1972,NA,65.8679268293,NA,1295.9711203726,17.5414354033,NA,47
1321,World,1972,NA,60.4929665568,NA,976.3376325517,13.3447486006,NA,95
1322,South Africa,1972,NA,53.5336341463,NA,897.3870346426,22.8170244389,NA,8
1323,Afghanistan,1973,NA,38.0693414634,NA,144.1739443551,14.7435906525,NA,67
1324,Arab World,1973,NA,54.1636761327,NA,415.6566413061,23.9034994073,NA,47
1325,Argentina,1973,NA,67.4653170732,NA,1875.5750068971,5.7095007903,NA,88
1326,Australia,1973,NA,71.8468292683,NA,4759.9896199305,11.0885352753,NA,74
1327,Austria,1973,NA,70.9792682927,NA,3881.3497172508,27.58064792,NA,85
1328,Burundi,1973,NA,44.4719756098,NA,84.9410875591,13.3327311323,NA,100
1329,Belgium,1973,NA,71.6353658537,NA,4927.1959234948,45.9150048822,NA,18
1330,Benin,1973,NA,44.0334878049,NA,162.1749307947,25.9501669628,NA,59
1331,Burkina Faso,1973,NA,40.4803414634,NA,113.780507596,22.9195387311,NA,88
1332,Bangladesh,1973,NA,47.1661707317,NA,117.7819064971,11.855247177,NA,25
1333,Bolivia,1973,NA,47.0504146341,NA,263.2105571843,28.3187591501,NA,91
1334,Brazil,1973,NA,60.0355121951,NA,NA,9.501580998,NA,50
1335,Botswana,1973,NA,56.5325121951,NA,319.0426733333,61.9651814695,NA,87
1336,Central African Republic,1973,NA,44.3457560976,NA,139.973903642,36.4868833574,NA,19
1337,Canada,1973,NA,73.1626829268,NA,5870.6005636841,21.3390485668,NA,20
1338,Chile,1973,NA,63.9131463415,NA,1625.503541615,15.4680885497,NA,30
1339,China,1973,NA,65.0032926829,NA,157.0903742987,3.8075636738,NA,3
1340,Cote d'Ivoire,1973,NA,46.2312195122,NA,416.5840422386,33.2319797417,NA,62
1341,Cameroon,1973,NA,47.6715609756,NA,240.0051358944,23.9971681756,NA,51
1342,"Congo, Rep.",1973,NA,54.2484878049,NA,370.1872354814,43.3774751656,NA,1
1343,Colombia,1973,NA,61.9283902439,NA,435.7328696139,14.3938149778,NA,97
1344,Costa Rica,1973,NA,68.3997317073,NA,766.0883285792,37.2215211247,NA,67
1345,Cuba,1973,NA,71.3209512195,NA,1088.4540295569,44.1776863894,NA,92
1346,Germany,1973,NA,71.0166829268,NA,5027.6603087591,16.4103804689,NA,55
1347,Denmark,1973,NA,73.682195122,NA,6065.3967595513,30.002961796,NA,37
1348,Dominican Republic,1973,NA,60.1432682927,NA,479.5439434029,25.679192463,NA,87
1349,Algeria,1973,NA,51.6457073171,NA,551.4344548716,31.5897635299,NA,27
1350,Ecuador,1973,NA,59.0962439024,NA,588.5972465381,16.659597058,NA,67
1351,"Egypt, Arab Rep.",1973,NA,53.3830731707,NA,259.5831097224,19.1603399406,NA,63
1352,Euro area,1973,NA,71.7175026193,NA,3894.2864275785,20.7711407824,NA,21
1353,Spain,1973,NA,72.6107317073,NA,2252.5138571922,14.7534915503,NA,25
1354,European Union,1973,NA,71.5329945405,NA,3269.1743708531,21.5358736412,NA,84
1355,Finland,1973,NA,71.2236585366,NA,4176.2727607876,24.8849966964,NA,63
1356,Fiji,1973,NA,60.9121463415,NA,768.7356808053,58.7643929162,NA,67
1357,France,1973,NA,72.356097561,NA,4965.8547688263,16.7685313171,NA,27
1358,Gabon,1973,NA,49.0728536585,NA,1157.1434078419,57.6660273122,NA,65
1359,United Kingdom,1973,NA,72.3243902439,NA,3426.2762205038,24.1734715118,NA,17
1360,Ghana,1973,NA,50.2072926829,NA,263.6859639697,16.3953156241,NA,19
1361,"Gambia, The",1973,NA,40.4901219512,NA,153.4886904928,42.38109375,NA,28
1362,Guinea-Bissau,1973,NA,44.5064634146,NA,118.925895113,40.7264824353,NA,78
1363,Equatorial Guinea,1973,NA,40.6270487805,NA,309.4646965645,53.5500644698,NA,1
1364,Greece,1973,NA,71.8148536585,NA,2502.8143584933,20.0928544943,NA,1
1365,Guatemala,1973,NA,54.0740243902,NA,435.3115564607,20.2047322044,NA,46
1366,Guyana,1973,NA,59.871804878,NA,425.9113978791,68.8895781638,NA,44
1367,High income,1973,NA,70.9135898891,NA,4223.1799899238,16.2453506221,NA,56
1368,"Hong Kong SAR, China",1973,NA,72.1097560976,NA,1893.1812418946,79.1080891427,NA,50
1369,Honduras,1973,NA,54.4307560976,NA,311.6259361585,33.0958922244,NA,35
1370,Heavily indebted poor countries (HIPC),1973,NA,44.9160497794,NA,172.5074473582,24.4391356963,NA,81
1371,Indonesia,1973,NA,54.3988536585,NA,130.9799733507,18.6302622823,NA,61
1372,India,1973,NA,51.0247804878,NA,146.625104409,4.6419276497,NA,68
1373,Ireland,1973,NA,71.2808780488,NA,2426.6678748336,41.1700024746,NA,58
1374,"Iran, Islamic Rep.",1973,NA,53.478804878,NA,876.3292600443,20.6578108927,NA,91
1375,Iraq,1973,NA,60.022,NA,468.8419819057,24.6077674897,NA,6
1376,Iceland,1973,NA,74.4509756098,NA,5481.7302854395,36.7928479088,NA,65
1377,Israel,1973,NA,71.6934146341,NA,2956.6809029896,56.2757944697,NA,42
1378,Italy,1973,NA,72.0263414634,NA,3194.6792927232,18.0134461696,NA,18
1379,Jamaica,1973,NA,68.9312439024,NA,974.3556261459,41.1302982732,NA,16
1380,Japan,1973,NA,73.7575609756,NA,3931.3016274222,9.8621139089,NA,29
1381,Kenya,1973,NA,53.9351707317,NA,199.6951625078,28.6690140043,NA,85
1382,Kiribati,1973,NA,52.725,NA,591.5615656335,39.3008188608,NA,3
1383,"Korea, Rep.",1973,NA,63.2295121951,NA,426.3040608304,29.9901569704,NA,83
1384,Kuwait,1973,NA,67.3279512195,NA,5835.3418189906,22.1681940029,NA,2
1385,Liberia,1973,NA,41.260097561,NA,251.4606707987,62.2531613055,NA,47
1386,Sri Lanka,1973,NA,65.4794634146,NA,219.6642731648,25.5596609433,NA,85
1387,Lower middle income,1973,NA,53.2077473117,NA,178.0468959557,13.2527475589,NA,11
1388,Low & middle income,1973,NA,57.4040591031,NA,286.845849683,10.5062390077,NA,96
1389,Lesotho,1973,NA,49.8751463415,NA,110.3623991228,67.7764565993,NA,86
1390,Luxembourg,1973,NA,70.3576829268,NA,7688.0486540075,67.903041207,NA,98
1391,Morocco,1973,NA,53.6363170732,NA,363.606263166,22.1060227805,NA,16
1392,Madagascar,1973,NA,46.2161463415,NA,231.1202431975,18.8787319222,NA,60
1393,Mexico,1973,NA,62.8378292683,NA,964.8753675609,9.4662937571,NA,57
1394,Middle income,1973,NA,58.8168726741,NA,298.6178304096,10.4148937915,NA,79
1395,Mali,1973,NA,34.4944634146,NA,90.1001216574,22.8432256522,NA,1
1396,Malta,1973,NA,71.2185121951,NA,1143.6202030953,75.9117862062,NA,99
1397,Myanmar,1973,NA,52.1626341463,NA,NA,5.9991477972,NA,78
1398,Mauritania,1973,NA,50.4813658537,NA,266.1680442059,46.3399888845,NA,10
1399,Malawi,1973,NA,41.8831707317,NA,88.9162658837,37.5824175824,NA,39
1400,Malaysia,1973,NA,65.6627560976,NA,652.6226633189,35.9723794264,NA,1
1401,North America,1973,NA,71.5285942271,NA,6657.8144444151,7.7387056442,NA,82
1402,Niger,1973,NA,36.7800487805,NA,193.6344149603,23.7350185654,NA,57
1403,Nigeria,1973,NA,42.4861707317,NA,251.517912408,15.3498318587,NA,95
1404,Nicaragua,1973,NA,55.4759268293,NA,415.885222987,37.8027446805,NA,48
1405,Netherlands,1973,NA,74.143902439,NA,5277.3500260031,40.8803110106,NA,79
1406,Norway,1973,NA,74.442195122,NA,5689.5888066967,37.7917000185,NA,31
1407,Nepal,1973,NA,43.7225609756,NA,76.2251698181,10.3721532602,NA,96
1408,New Zealand,1973,NA,71.6682926829,NA,4323.1965345866,23.8561025975,NA,44
1409,OECD members,1973,NA,70.2575415182,NA,4012.5022441905,14.5692010187,NA,75
1410,Oman,1973,NA,52.7490243902,NA,598.5632172628,55.1948051948,NA,9
1411,Pakistan,1973,NA,55.0353902439,NA,100.2959574547,16.3036318339,NA,61
1412,Peru,1973,NA,55.758,NA,760.980689301,15.7653310303,NA,11
1413,Philippines,1973,NA,61.3689756098,NA,258.3627432307,19.8890242649,NA,39
1414,Papua New Guinea,1973,NA,48.0148292683,NA,489.7504701951,34.8201705477,NA,20
1415,Puerto Rico,1973,NA,72.4780487805,NA,2432.4142190493,63.0498114932,NA,69
1416,Portugal,1973,NA,67.5243902439,NA,1748.1614171428,26.2941512376,NA,85
1417,Rwanda,1973,NA,44.5573902439,NA,70.8733163607,13.4426235017,NA,97
1418,South Asia,1973,NA,50.9315326086,NA,138.8795738522,6.8377305971,NA,71
1419,Saudi Arabia,1973,NA,56.0362195122,NA,2231.7913229126,20.9154573677,NA,51
1420,Sudan,1973,NA,53.1704390244,NA,234.9622411402,17.0228651423,NA,36
1421,Senegal,1973,NA,41.4404634146,NA,318.225622171,32.3195804036,NA,34
1422,Singapore,1973,NA,69.4403170732,NA,1684.3410852713,127.4769701695,NA,56
1423,Sierra Leone,1973,NA,37.0997317073,NA,216.5466666618,23.4036635784,NA,31
1424,El Salvador,1973,NA,57.1293902439,NA,364.3495605535,32.9829718786,NA,39
1425,Somalia,1973,NA,42.0998536585,NA,NA,26.8768328493,NA,5
1426,Suriname,1973,NA,64.1204878049,NA,828.8492759446,56.0104814936,NA,100
1427,Sweden,1973,NA,74.8673170732,NA,7198.2716565934,22.4930406611,NA,89
1428,Swaziland,1973,NA,49.7602439024,NA,455.9730431579,56.1688311688,NA,62
1429,Syrian Arab Republic,1973,NA,61.3945365854,NA,458.4306267314,26.2729703469,NA,84
1430,Chad,1973,NA,42.6057804878,NA,165.577987839,23.5002533452,NA,61
1431,Togo,1973,NA,48.3374146341,NA,176.4737397826,32.9932845869,NA,89
1432,Thailand,1973,NA,60.9331219512,NA,269.8517545911,20.0463758044,NA,23
1433,Trinidad and Tobago,1973,NA,65.6469512195,NA,1331.9839719791,38.36674356,NA,30
1434,Tunisia,1973,NA,54.5887804878,NA,506.7609841765,26.4136193868,NA,70
1435,Turkey,1973,NA,54.0966097561,NA,688.4265614771,9.0934065934,NA,20
1436,Uganda,1973,NA,49.2025365854,NA,165.9969030287,13.1539980257,NA,83
1437,Upper middle income,1973,NA,63.4103762204,NA,401.8879112381,9.5572104474,NA,90
1438,Uruguay,1973,NA,68.883902439,NA,1337.8607991667,9.5055915244,NA,15
1439,United States,1973,NA,71.356097561,NA,6741.332364364,6.3812301853,NA,81
1440,"Venezuela, RB",1973,NA,66.2624390244,NA,1540.4228647646,16.7630053355,NA,20
1441,World,1973,NA,60.856381634,NA,1164.9499306006,14.6755473255,NA,100
1442,South Africa,1973,NA,53.8705609756,NA,1202.3974927049,22.7608922579,NA,34
1443,Afghanistan,1974,NA,38.5232926829,NA,175.0270976689,14.8453612165,NA,25
1444,Arab World,1974,NA,54.7769877861,NA,772.4924339368,24.7784618177,NA,12
1445,Argentina,1974,NA,67.7586585366,NA,2542.1859371433,6.28900906,NA,6
1446,Australia,1974,NA,72.236097561,NA,6469.0839830135,13.2748945778,NA,34
1447,Austria,1974,NA,70.9624390244,NA,4619.6017283145,30.5011304127,NA,74
1448,Burundi,1974,NA,44.8194878049,NA,95.2752476614,15.5339377333,NA,48
1449,Belgium,1974,NA,71.9858536585,NA,5764.4898831925,52.1537867575,NA,73
1450,Benin,1974,NA,44.5724878049,NA,174.1707021329,29.4946483666,NA,46
1451,Burkina Faso,1974,NA,41.0065853659,NA,124.3589686842,24.4729157209,NA,47
1452,Bangladesh,1974,NA,47.9199512195,NA,179.1641754672,10.3485456007,NA,89
1453,Bolivia,1974,NA,47.6078780488,NA,428.4324268161,26.797696664,NA,64
1454,Brazil,1974,NA,60.438195122,NA,NA,13.8837280807,NA,1
1455,Brunei Darussalam,1974,NA,68.8241219512,NA,6953.4446429068,17.3534133476,NA,41
1456,Botswana,1974,NA,57.1902682927,NA,386.1693195217,64.7751863429,NA,2
1457,Central African Republic,1974,NA,45.1544390244,NA,142.4105391184,43.3361131788,NA,80
1458,Canada,1974,NA,73.2375609756,NA,7043.4743508384,23.8896347934,NA,48
1459,Chile,1974,NA,64.605,NA,1514.9901436488,19.7058829916,NA,92
1460,China,1974,NA,65.3792926829,NA,160.1400937277,5.4768988136,NA,53
1461,Cote d'Ivoire,1974,NA,47.0094634146,NA,486.7125952235,38.3761837422,NA,6
1462,Cameroon,1974,NA,48.2111219512,NA,299.5465685628,22.7999234342,NA,24
1463,"Congo, Rep.",1974,NA,54.5223170732,NA,387.6895086727,59.4747338538,NA,6
1464,Colombia,1974,NA,62.3216097561,NA,510.9888607852,15.5094542533,NA,88
1465,Costa Rica,1974,NA,68.9612926829,NA,814.7052445264,48.3409872223,NA,29
1466,Cuba,1974,NA,71.7694878049,NA,1224.4233067491,44.1719447445,NA,10
1467,Germany,1974,NA,71.1954146341,NA,5617.741720941,18.7874092594,NA,53
1468,Denmark,1974,NA,73.8082926829,NA,6719.2406645762,33.7704225243,NA,6
1469,Dominican Republic,1974,NA,60.6169268293,NA,582.8502645,36.231884058,NA,77
1470,Algeria,1974,NA,52.1880731707,NA,813.0499102371,35.4897756233,NA,50
1471,Ecuador,1974,NA,59.5698536585,NA,970.7355722571,18.7523195539,NA,26
1472,"Egypt, Arab Rep.",1974,NA,53.996097561,NA,238.398229423,37.2436062339,NA,77
1473,Euro area,1974,NA,72.050884841,NA,4390.6070345135,24.7621412349,NA,65
1474,Spain,1974,NA,72.9697560976,NA,2759.5399496749,18.4706467246,NA,88
1475,European Union,1974,NA,71.8233376904,NA,3654.1734301611,26.0513187502,NA,96
1476,Finland,1974,NA,71.1348780488,NA,5301.5427779955,29.5120885595,NA,87
1477,Fiji,1974,NA,61.2262195122,NA,987.9796650495,54.3555555556,NA,67
1478,France,1974,NA,72.6048780488,NA,5317.6195102198,21.5950038319,NA,38
1479,Gabon,1974,NA,49.8818536585,NA,2425.3355635511,43.2606941082,NA,24
1480,United Kingdom,1974,NA,72.5243902439,NA,3665.8627976419,30.8843873536,NA,27
1481,Ghana,1974,NA,50.5095121951,NA,301.3666732093,21.8025751073,NA,77
1482,"Gambia, The",1974,NA,41.3569756098,NA,189.5059532947,43.7154972544,NA,89
1483,Guinea-Bissau,1974,NA,44.6685853659,NA,129.1224655313,39.2484272855,NA,35
1484,Equatorial Guinea,1974,NA,40.9245609756,NA,377.2626887914,58.8423726941,NA,18
1485,Greece,1974,NA,72.0646341463,NA,2828.7484321974,21.2612009539,NA,20
1486,Guatemala,1974,NA,54.6341463415,NA,520.9193918614,25.6650332331,NA,1
1487,Guyana,1974,NA,59.9915365854,NA,594.2734868124,66.4187702943,NA,40
1488,High income,1974,NA,71.2818937667,NA,4716.5584239957,19.7214534111,NA,82
1489,"Hong Kong SAR, China",1974,NA,72.612195122,NA,2166.1814511926,81.8416596105,NA,62
1490,Honduras,1974,NA,55.1152439024,NA,343.0487935095,44.0792653456,NA,31
1491,Heavily indebted poor countries (HIPC),1974,NA,45.3161453087,NA,207.4338858559,28.7745631605,NA,51
1492,Indonesia,1974,NA,55.0409512195,NA,202.4270401717,20.461789638,NA,20
1493,India,1974,NA,51.760902439,NA,166.7163693114,5.9168066059,NA,48
1494,Ireland,1974,NA,71.4032926829,NA,2519.4179789771,52.5101156302,NA,26
1495,"Iran, Islamic Rep.",1974,NA,54.4104634146,NA,1453.8066153326,24.0337572015,NA,4
1496,Iraq,1974,NA,60.5611463415,NA,1018.0740028106,31.5739951189,NA,50
1497,Iceland,1974,NA,74.5117073171,NA,7098.0283342699,40.2284378828,NA,34
1498,Israel,1974,NA,71.6617073171,NA,4141.6197808706,58.3430154616,NA,41
1499,Italy,1974,NA,72.7343902439,NA,3609.2012082341,22.3461468413,NA,83
1500,Jamaica,1974,NA,69.1460487805,NA,1196.0086899918,45.9058910708,NA,60
1501,Japan,1974,NA,74.393902439,NA,4281.3599284097,14.1327450656,NA,92
1502,Kenya,1974,NA,54.4795609756,NA,228.761022994,40.8975205053,NA,94
1503,Kiribati,1974,NA,53.175,NA,1574.7338158253,23.8010413812,NA,60
1504,"Korea, Rep.",1974,NA,63.5926829268,NA,588.7907132052,35.673392319,NA,4
1505,Kuwait,1974,NA,67.6851219512,NA,13159.1711112651,13.8421194294,NA,77
1506,Liberia,1974,NA,41.9843902439,NA,307.6961475663,68.1993408015,NA,22
1507,Sri Lanka,1974,NA,65.8427073171,NA,269.0896165436,33.8984476884,NA,63
1508,Lower middle income,1974,NA,53.797052631,NA,223.111827497,16.6120853413,NA,50
1509,Low & middle income,1974,NA,57.8681725641,NA,356.856446848,13.2727942466,NA,37
1510,Lesotho,1974,NA,50.2937073171,NA,134.3860673728,77.0731707317,NA,65
1511,Luxembourg,1974,NA,70.5420731707,NA,9256.7038120936,72.181056687,NA,90
1512,Morocco,1974,NA,54.0243658537,NA,437.674004535,28.1926058438,NA,83
1513,Madagascar,1974,NA,46.6715365854,NA,260.5214115142,20.2071538674,NA,6
1514,Mexico,1974,NA,63.3742682927,NA,1218.0731266509,10.5758898343,NA,46
1515,Middle income,1974,NA,59.2947266427,NA,372.4031276301,13.1723649763,NA,31
1516,Mali,1974,NA,35.2054146341,NA,84.5976090723,40.8701483382,NA,50
1517,Malta,1974,NA,71.4709268293,NA,1245.3612249014,101.0805568896,NA,84
1518,Myanmar,1974,NA,52.5354146341,NA,NA,8.0055810842,NA,15
1519,Mauritania,1974,NA,50.9460731707,NA,321.340883344,59.2884127039,NA,1
1520,Malawi,1974,NA,42.2617804878,NA,106.7115471213,38.9599133261,NA,78
1521,Malaysia,1974,NA,66.037804878,NA,789.6332436726,48.2386070522,NA,31
1522,North America,1974,NA,72.0794310164,NA,7222.9827491673,9.6509742241,NA,60
1523,Niger,1974,NA,37.0076097561,NA,204.1355422988,28.9729804709,NA,76
1524,Nigeria,1974,NA,42.9398780488,NA,401.6785825293,14.5684554173,NA,39
1525,Nicaragua,1974,NA,56.0134878049,NA,560.8354915092,42.607289813,NA,43
1526,Netherlands,1974,NA,74.5368292683,NA,6358.7723835832,45.8055739717,NA,93
1527,Norway,1974,NA,74.7536585366,NA,6811.5273365323,42.5391843276,NA,43
1528,Nepal,1974,NA,44.2009512195,NA,93.4855973709,10.5480961332,NA,40
1529,New Zealand,1974,NA,71.9243902439,NA,4610.1143857441,32.9310515382,NA,90
1530,OECD members,1974,NA,70.6743662973,NA,4446.9492394049,17.9055532758,NA,49
1531,Oman,1974,NA,53.6962926829,NA,1954.8947576166,47.7572559367,NA,70
1532,Pakistan,1974,NA,55.5411219512,NA,135.2324554955,20.7773137953,NA,80
1533,Peru,1974,NA,56.4514146341,NA,934.3080721917,21.9306656491,NA,99
1534,Philippines,1974,NA,61.4653414634,NA,343.2416947089,27.3526110428,NA,18
1535,Papua New Guinea,1974,NA,48.6373658537,NA,537.3203303419,39.8415435782,NA,53
1536,Puerto Rico,1974,NA,72.7512195122,NA,2614.5009405304,68.7981469915,NA,75
1537,Portugal,1974,NA,68.0195121951,NA,2000.6147876824,32.8873728165,NA,72
1538,Rwanda,1974,NA,44.6988292683,NA,72.9761985523,21.3389179913,NA,77
1539,South Asia,1974,NA,51.6367951837,NA,164.2559723491,8.4078602588,NA,30
1540,Saudi Arabia,1974,NA,57.1580487805,NA,6445.6895887218,13.202163557,NA,29
1541,Sudan,1974,NA,53.4163170732,NA,292.9747585827,20.7254261879,NA,5
1542,Senegal,1974,NA,42.4391463415,NA,348.0388104759,41.0231467578,NA,8
1543,Singapore,1974,NA,69.8347804878,NA,2339.570287019,164.6434783965,NA,73
1544,Sierra Leone,1974,NA,37.8367804878,NA,239.3502697582,26.1334717506,NA,12
1545,El Salvador,1974,NA,57.2132195122,NA,410.9268028924,40.8312723606,NA,6
1546,Somalia,1974,NA,42.4818536585,NA,NA,39.9877679416,NA,50
1547,Suriname,1974,NA,64.3638536585,NA,1009.5753538718,73.6570808464,NA,6
1548,Sweden,1974,NA,74.9804878049,NA,7975.8505156915,30.0961197785,NA,73
1549,Swaziland,1974,NA,50.3694390244,NA,526.9419893965,59.2427616927,NA,72
1550,Syrian Arab Republic,1974,NA,62.0988536585,NA,705.6591163665,34.406734576,NA,12
1551,Chad,1974,NA,42.9703414634,NA,163.1123614125,26.8037366906,NA,88
1552,Togo,1974,NA,48.9233658537,NA,237.8139153335,28.8868140664,NA,3
1553,Thailand,1974,NA,61.400097561,NA,332.117150656,23.9555868692,NA,87
1554,Trinidad and Tobago,1974,NA,65.8713414634,NA,2048.0696106343,32.1892821377,NA,7
1555,Tunisia,1974,NA,55.7039756098,NA,645.4519472278,32.2070034888,NA,97
1556,Turkey,1974,NA,54.7336585366,NA,930.1646580008,11.2747075434,NA,43
1557,Uganda,1974,NA,49.2615121951,NA,199.3750731208,15.0455101209,NA,82
1558,Upper middle income,1974,NA,63.8053803111,NA,500.3974253598,12.1327797448,NA,1
1559,Uruguay,1974,NA,68.9973658537,NA,1446.1403032291,16.8907488202,NA,81
1560,United States,1974,NA,71.956097561,NA,7242.4411046789,8.2297870967,NA,56
1561,"Venezuela, RB",1974,NA,66.6282439024,NA,2230.6889441091,16.6925458548,NA,94
1562,World,1974,NA,61.2634309296,NA,1313.7344551307,17.9579391963,NA,42
1563,South Africa,1974,NA,54.2134146341,NA,1476.9732131867,28.5455362809,NA,27
1564,Afghanistan,1975,NA,38.9702682927,NA,188.0851360941,14.2723007782,NA,78
1565,Arab World,1975,NA,55.4033461995,NA,829.8857683634,31.8626697296,NA,13
1566,Argentina,1975,NA,68.0479512195,NA,1860.8123766759,5.9786724961,NA,58
1567,Australia,1975,NA,72.6253658537,NA,6987.82099458,14.7834526606,NA,13
1568,Austria,1975,NA,71.0841463415,NA,5272.8876823354,28.5492099464,NA,46
1569,Burundi,1975,NA,45.2214146341,NA,114.4921667381,19.0017705949,NA,29
1570,Belgium,1975,NA,71.9712195122,NA,6737.2482506932,45.4127234435,NA,49
1571,Benin,1975,NA,45.086902439,NA,207.4405900722,33.4129820338,NA,7
1572,Burkina Faso,1975,NA,41.6063902439,NA,152.7281456677,30.151116359,NA,54
1573,Bangladesh,1975,NA,49.0616341463,NA,272.9701785201,8.1005472385,NA,56
1574,Bolivia,1975,NA,48.2329756098,NA,480.0505725846,32.2166341078,NA,91
1575,Brazil,1975,NA,60.8397804878,NA,NA,11.5055803106,NA,48
1576,Brunei Darussalam,1975,NA,69.186804878,NA,7265.619224343,23.4262200404,NA,93
1577,Botswana,1975,NA,57.836097561,NA,432.0634860512,63.7921187893,NA,23
1578,Central African Republic,1975,NA,45.9295853659,NA,187.6989976925,39.9199700573,NA,40
1579,Canada,1975,NA,73.5217073171,NA,7489.9405311583,23.7072856078,NA,15
1580,Chile,1975,NA,65.322804878,NA,693.4805863722,27.4105180549,NA,31
1581,China,1975,NA,65.6995853659,NA,178.3418196081,4.9177593167,NA,11
1582,Cote d'Ivoire,1975,NA,47.7422195122,NA,589.4045376136,36.584784235,NA,22
